#    L    TT             EE             TE          
   115    0.23863E+03    0.16650E-01   -0.61818E+00
   116    0.24282E+03    0.17368E-01   -0.63954E+00
   117    0.24706E+03    0.18107E-01   -0.66143E+00
   118    0.25133E+03    0.18869E-01   -0.68385E+00
   119    0.25565E+03    0.19653E-01   -0.70680E+00
   120    0.26001E+03    0.20461E-01   -0.73029E+00
   121    0.26441E+03    0.21291E-01   -0.75433E+00
   122    0.26886E+03    0.22145E-01   -0.77892E+00
   123    0.27335E+03    0.23023E-01   -0.80408E+00
   124    0.27788E+03    0.23925E-01   -0.82980E+00
   125    0.28246E+03    0.24852E-01   -0.85610E+00
   126    0.28708E+03    0.25804E-01   -0.88299E+00
   127    0.29174E+03    0.26781E-01   -0.91046E+00
   128    0.29645E+03    0.27784E-01   -0.93853E+00
   129    0.30120E+03    0.28813E-01   -0.96721E+00
   130    0.30600E+03    0.29869E-01   -0.99649E+00
   131    0.31085E+03    0.30951E-01   -0.10264E+01
   132    0.31574E+03    0.32060E-01   -0.10569E+01
   133    0.32068E+03    0.33196E-01   -0.10880E+01
   134    0.32566E+03    0.34359E-01   -0.11198E+01
   135    0.33069E+03    0.35550E-01   -0.11522E+01
   136    0.33577E+03    0.36768E-01   -0.11851E+01
   137    0.34090E+03    0.38014E-01   -0.12187E+01
   138    0.34607E+03    0.39288E-01   -0.12530E+01
   139    0.35129E+03    0.40590E-01   -0.12878E+01
   140    0.35656E+03    0.41920E-01   -0.13232E+01
   141    0.36187E+03    0.43278E-01   -0.13593E+01
   142    0.36724E+03    0.44665E-01   -0.13959E+01
   143    0.37265E+03    0.46080E-01   -0.14332E+01
   144    0.37811E+03    0.47525E-01   -0.14711E+01
   145    0.38362E+03    0.48998E-01   -0.15096E+01
   146    0.38918E+03    0.50500E-01   -0.15487E+01
   147    0.39479E+03    0.52031E-01   -0.15884E+01
   148    0.40045E+03    0.53592E-01   -0.16287E+01
   149    0.40616E+03    0.55182E-01   -0.16696E+01
   150    0.41192E+03    0.56802E-01   -0.17112E+01
   151    0.41773E+03    0.58452E-01   -0.17533E+01
   152    0.42359E+03    0.60130E-01   -0.17960E+01
   153    0.42951E+03    0.61835E-01   -0.18393E+01
   154    0.43547E+03    0.63566E-01   -0.18831E+01
   155    0.44149E+03    0.65322E-01   -0.19275E+01
   156    0.44755E+03    0.67101E-01   -0.19723E+01
   157    0.45367E+03    0.68902E-01   -0.20176E+01
   158    0.45985E+03    0.70724E-01   -0.20633E+01
   159    0.46607E+03    0.72565E-01   -0.21094E+01
   160    0.47235E+03    0.74424E-01   -0.21560E+01
   161    0.47869E+03    0.76300E-01   -0.22029E+01
   162    0.48507E+03    0.78190E-01   -0.22502E+01
   163    0.49152E+03    0.80096E-01   -0.22978E+01
   164    0.49801E+03    0.82013E-01   -0.23457E+01
   165    0.50456E+03    0.83942E-01   -0.23938E+01
   166    0.51117E+03    0.85882E-01   -0.24423E+01
   167    0.51783E+03    0.87830E-01   -0.24909E+01
