#    L    TT             EE             TE          
     2    0.10066E-01    0.28143E-09    0.23160E-06
     3    0.31332E-01    0.95447E-09    0.15538E-06
     4    0.72481E-01    0.19164E-08   -0.19317E-06
     5    0.13242E+00    0.28861E-08   -0.88244E-06
     6    0.20472E+00    0.38395E-08   -0.20706E-05
     7    0.28292E+00    0.51290E-08   -0.40719E-05
     8    0.36543E+00    0.72338E-08   -0.71295E-05
     9    0.46855E+00    0.10464E-07   -0.11507E-04
    10    0.61238E+00    0.15284E-07   -0.17705E-04
    11    0.79215E+00    0.22509E-07   -0.26037E-04
    12    0.98358E+00    0.33694E-07   -0.36442E-04
    13    0.11801E+01    0.50343E-07   -0.49452E-04
    14    0.13822E+01    0.73699E-07   -0.65726E-04
    15    0.15954E+01    0.10418E-06   -0.85708E-04
    16    0.18263E+01    0.14225E-06   -0.10980E-03
    17    0.20791E+01    0.18937E-06   -0.13847E-03
    18    0.23556E+01    0.24780E-06   -0.17223E-03
    19    0.26487E+01    0.32214E-06   -0.21175E-03
    20    0.29513E+01    0.41766E-06   -0.25774E-03
    21    0.32646E+01    0.54015E-06   -0.31078E-03
    22    0.35917E+01    0.69511E-06   -0.37146E-03
    23    0.39334E+01    0.88639E-06   -0.44052E-03
    24    0.42901E+01    0.11185E-05   -0.51874E-03
    25    0.46615E+01    0.13999E-05   -0.60699E-03
    26    0.50473E+01    0.17404E-05   -0.70620E-03
    27    0.54466E+01    0.21495E-05   -0.81726E-03
    28    0.58588E+01    0.26373E-05   -0.94113E-03
    29    0.62844E+01    0.32159E-05   -0.10790E-02
    30    0.67237E+01    0.38980E-05   -0.12323E-02
    31    0.71770E+01    0.46963E-05   -0.14019E-02
    32    0.76443E+01    0.56248E-05   -0.15892E-02
    33    0.81252E+01    0.67030E-05   -0.17954E-02
    34    0.86195E+01    0.79527E-05   -0.20216E-02
    35    0.91280E+01    0.93991E-05   -0.22689E-02
    36    0.96514E+01    0.11067E-04   -0.25383E-02
    37    0.10190E+02    0.12974E-04   -0.28313E-02
    38    0.10743E+02    0.15141E-04   -0.31494E-02
    39    0.11310E+02    0.17599E-04   -0.34938E-02
    40    0.11890E+02    0.20384E-04   -0.38656E-02
    41    0.12483E+02    0.23534E-04   -0.42662E-02
    42    0.13089E+02    0.27077E-04   -0.46969E-02
    43    0.13709E+02    0.31045E-04   -0.51593E-02
    44    0.14342E+02    0.35467E-04   -0.56549E-02
    45    0.14989E+02    0.40373E-04   -0.61854E-02
    46    0.15652E+02    0.45798E-04   -0.67521E-02
    47    0.16328E+02    0.51796E-04   -0.73571E-02
    48    0.17019E+02    0.58425E-04   -0.80022E-02
    49    0.17724E+02    0.65742E-04   -0.86892E-02
    50    0.18443E+02    0.73806E-04   -0.94202E-02
    51    0.19177E+02    0.82674E-04   -0.10197E-01
    52    0.19924E+02    0.92400E-04   -0.11021E-01
    53    0.20685E+02    0.10304E-03   -0.11894E-01
    54    0.21461E+02    0.11464E-03   -0.12817E-01
    55    0.22250E+02    0.12726E-03   -0.13793E-01
    56    0.23054E+02    0.14095E-03   -0.14822E-01
    57    0.23871E+02    0.15580E-03   -0.15907E-01
    58    0.24703E+02    0.17188E-03   -0.17051E-01
    59    0.25549E+02    0.18927E-03   -0.18256E-01
    60    0.26409E+02    0.20807E-03   -0.19524E-01
    61    0.27283E+02    0.22834E-03   -0.20858E-01
    62    0.28171E+02    0.25018E-03   -0.22261E-01
    63    0.29073E+02    0.27369E-03   -0.23734E-01
    64    0.29989E+02    0.29894E-03   -0.25280E-01
    65    0.30920E+02    0.32604E-03   -0.26902E-01
    66    0.31864E+02    0.35507E-03   -0.28602E-01
    67    0.32823E+02    0.38613E-03   -0.30383E-01
    68    0.33796E+02    0.41932E-03   -0.32246E-01
    69    0.34784E+02    0.45475E-03   -0.34194E-01
    70    0.35786E+02    0.49250E-03   -0.36229E-01
    71    0.36803E+02    0.53268E-03   -0.38353E-01
    72    0.37835E+02    0.57542E-03   -0.40569E-01
    73    0.38882E+02    0.62082E-03   -0.42881E-01
    74    0.39943E+02    0.66901E-03   -0.45290E-01
    75    0.41019E+02    0.72010E-03   -0.47801E-01
    76    0.42109E+02    0.77423E-03   -0.50416E-01
    77    0.43214E+02    0.83151E-03   -0.53138E-01
    78    0.44333E+02    0.89208E-03   -0.55970E-01
    79    0.45466E+02    0.95606E-03   -0.58914E-01
    80    0.46613E+02    0.10236E-02   -0.61974E-01
    81    0.47774E+02    0.10948E-02   -0.65152E-01
    82    0.48949E+02    0.11698E-02   -0.68451E-01
    83    0.50138E+02    0.12487E-02   -0.71873E-01
    84    0.51342E+02    0.13317E-02   -0.75421E-01
    85    0.52560E+02    0.14189E-02   -0.79098E-01
    86    0.53793E+02    0.15104E-02   -0.82906E-01
    87    0.55041E+02    0.16064E-02   -0.86848E-01
    88    0.56303E+02    0.17071E-02   -0.90928E-01
    89    0.57581E+02    0.18125E-02   -0.95149E-01
    90    0.58873E+02    0.19229E-02   -0.99515E-01
    91    0.60180E+02    0.20383E-02   -0.10403E+00
    92    0.61502E+02    0.21590E-02   -0.10869E+00
    93    0.62839E+02    0.22850E-02   -0.11351E+00
    94    0.64191E+02    0.24166E-02   -0.11849E+00
    95    0.65559E+02    0.25537E-02   -0.12362E+00
    96    0.66941E+02    0.26967E-02   -0.12892E+00
    97    0.68339E+02    0.28456E-02   -0.13438E+00
    98    0.69753E+02    0.30005E-02   -0.14001E+00
    99    0.71182E+02    0.31616E-02   -0.14581E+00
   100    0.72626E+02    0.33291E-02   -0.15178E+00
   101    0.74086E+02    0.35030E-02   -0.15793E+00
   102    0.75562E+02    0.36835E-02   -0.16426E+00
   103    0.77053E+02    0.38708E-02   -0.17077E+00
   104    0.78560E+02    0.40650E-02   -0.17746E+00
   105    0.80083E+02    0.42662E-02   -0.18434E+00
   106    0.81622E+02    0.44746E-02   -0.19141E+00
   107    0.83178E+02    0.46902E-02   -0.19867E+00
