#    L    TT             EE             TE          
   116    0.15322E+00    0.69003E-04   -0.18461E-02
   117    0.15497E+00    0.70516E-04   -0.18880E-02
   118    0.15672E+00    0.72037E-04   -0.19302E-02
   119    0.15848E+00    0.73565E-04   -0.19728E-02
   120    0.16024E+00    0.75100E-04   -0.20157E-02
   121    0.16202E+00    0.76643E-04   -0.20589E-02
   122    0.16380E+00    0.78191E-04   -0.21024E-02
   123    0.16559E+00    0.79746E-04   -0.21463E-02
   124    0.16739E+00    0.81306E-04   -0.21904E-02
   125    0.16920E+00    0.82872E-04   -0.22349E-02
   126    0.17102E+00    0.84443E-04   -0.22796E-02
   127    0.17285E+00    0.86019E-04   -0.23246E-02
   128    0.17469E+00    0.87599E-04   -0.23699E-02
   129    0.17653E+00    0.89183E-04   -0.24155E-02
   130    0.17839E+00    0.90771E-04   -0.24613E-02
   131    0.18025E+00    0.92363E-04   -0.25074E-02
   132    0.18213E+00    0.93957E-04   -0.25538E-02
   133    0.18401E+00    0.95554E-04   -0.26003E-02
   134    0.18591E+00    0.97151E-04   -0.26470E-02
   135    0.18781E+00    0.98749E-04   -0.26939E-02
   136    0.18972E+00    0.10035E-03   -0.27410E-02
   137    0.19163E+00    0.10194E-03   -0.27882E-02
   138    0.19356E+00    0.10354E-03   -0.28355E-02
   139    0.19549E+00    0.10513E-03   -0.28828E-02
   140    0.19743E+00    0.10672E-03   -0.29303E-02
   141    0.19938E+00    0.10830E-03   -0.29777E-02
   142    0.20133E+00    0.10988E-03   -0.30252E-02
   143    0.20328E+00    0.11146E-03   -0.30727E-02
   144    0.20525E+00    0.11302E-03   -0.31201E-02
   145    0.20721E+00    0.11458E-03   -0.31675E-02
   146    0.20919E+00    0.11614E-03   -0.32148E-02
   147    0.21116E+00    0.11768E-03   -0.32620E-02
   148    0.21315E+00    0.11921E-03   -0.33091E-02
   149    0.21513E+00    0.12074E-03   -0.33561E-02
   150    0.21712E+00    0.12225E-03   -0.34029E-02
   151    0.21911E+00    0.12375E-03   -0.34495E-02
   152    0.22111E+00    0.12524E-03   -0.34959E-02
   153    0.22311E+00    0.12671E-03   -0.35420E-02
   154    0.22511E+00    0.12816E-03   -0.35879E-02
   155    0.22711E+00    0.12960E-03   -0.36334E-02
   156    0.22912E+00    0.13101E-03   -0.36786E-02
   157    0.23113E+00    0.13240E-03   -0.37234E-02
   158    0.23314E+00    0.13376E-03   -0.37678E-02
   159    0.23516E+00    0.13509E-03   -0.38118E-02
   160    0.23717E+00    0.13640E-03   -0.38552E-02
   161    0.23919E+00    0.13767E-03   -0.38981E-02
   162    0.24122E+00    0.13890E-03   -0.39405E-02
   163    0.24324E+00    0.14011E-03   -0.39823E-02
   164    0.24527E+00    0.14127E-03   -0.40235E-02
   165    0.24729E+00    0.14239E-03   -0.40640E-02
   166    0.24932E+00    0.14348E-03   -0.41038E-02
   167    0.25136E+00    0.14451E-03   -0.41429E-02
   168    0.25339E+00    0.14550E-03   -0.41813E-02
   169    0.25543E+00    0.14645E-03   -0.42189E-02
   170    0.25746E+00    0.14734E-03   -0.42556E-02
   171    0.25950E+00    0.14818E-03   -0.42915E-02
   172    0.26154E+00    0.14897E-03   -0.43265E-02
   173    0.26358E+00    0.14970E-03   -0.43606E-02
   174    0.26562E+00    0.15037E-03   -0.43938E-02
   175    0.26766E+00    0.15098E-03   -0.44259E-02
   176    0.26971E+00    0.15153E-03   -0.44570E-02
   177    0.27175E+00    0.15202E-03   -0.44871E-02
   178    0.27380E+00    0.15245E-03   -0.45162E-02
   179    0.27584E+00    0.15282E-03   -0.45441E-02
   180    0.27788E+00    0.15313E-03   -0.45710E-02
   181    0.27992E+00    0.15338E-03   -0.45968E-02
   182    0.28196E+00    0.15357E-03   -0.46214E-02
   183    0.28400E+00    0.15371E-03   -0.46449E-02
   184    0.28604E+00    0.15380E-03   -0.46673E-02
   185    0.28807E+00    0.15382E-03   -0.46884E-02
   186    0.29009E+00    0.15380E-03   -0.47084E-02
   187    0.29212E+00    0.15372E-03   -0.47272E-02
   188    0.29413E+00    0.15359E-03   -0.47447E-02
   189    0.29615E+00    0.15341E-03   -0.47611E-02
   190    0.29815E+00    0.15318E-03   -0.47761E-02
   191    0.30015E+00    0.15290E-03   -0.47899E-02
   192    0.30215E+00    0.15258E-03   -0.48024E-02
   193    0.30414E+00    0.15220E-03   -0.48136E-02
   194    0.30612E+00    0.15178E-03   -0.48234E-02
   195    0.30809E+00    0.15131E-03   -0.48319E-02
   196    0.31005E+00    0.15080E-03   -0.48391E-02
   197    0.31200E+00    0.15024E-03   -0.48448E-02
   198    0.31395E+00    0.14964E-03   -0.48492E-02
   199    0.31588E+00    0.14900E-03   -0.48522E-02
   200    0.31781E+00    0.14832E-03   -0.48537E-02
   201    0.31972E+00    0.14760E-03   -0.48539E-02
   202    0.32162E+00    0.14683E-03   -0.48525E-02
   203    0.32351E+00    0.14603E-03   -0.48497E-02
   204    0.32539E+00    0.14519E-03   -0.48455E-02
   205    0.32725E+00    0.14432E-03   -0.48397E-02
   206    0.32911E+00    0.14341E-03   -0.48326E-02
   207    0.33095E+00    0.14246E-03   -0.48239E-02
   208    0.33277E+00    0.14149E-03   -0.48138E-02
