#    L    TT             EE             TE          
     2    0.36573E+02    0.53297E-05    0.19026E-02
     3    0.56405E+02    0.18702E-04    0.23284E-02
     4    0.80501E+02    0.36813E-04    0.26614E-02
     5    0.11537E+03    0.50437E-04    0.27845E-02
     6    0.16284E+03    0.52938E-04    0.26775E-02
     7    0.21779E+03    0.45946E-04    0.24897E-02
     8    0.28832E+03    0.37687E-04    0.20170E-02
     9    0.39036E+03    0.36456E-04    0.51149E-03
    10    0.51759E+03    0.44946E-04   -0.19188E-02
    11    0.65388E+03    0.59448E-04   -0.42433E-02
    12    0.80744E+03    0.73863E-04   -0.62114E-02
    13    0.98097E+03    0.87042E-04   -0.89764E-02
    14    0.11737E+04    0.10042E-03   -0.13562E-01
    15    0.13845E+04    0.12014E-03   -0.19247E-01
    16    0.16119E+04    0.15182E-03   -0.25213E-01
    17    0.18561E+04    0.19420E-03   -0.32003E-01
    18    0.21169E+04    0.24427E-03   -0.40465E-01
    19    0.23923E+04    0.29890E-03   -0.51296E-01
    20    0.26809E+04    0.35712E-03   -0.64956E-01
    21    0.29828E+04    0.42678E-03   -0.81116E-01
    22    0.32987E+04    0.51711E-03   -0.99435E-01
    23    0.36280E+04    0.63428E-03   -0.12032E+00
    24    0.39700E+04    0.78349E-03   -0.14432E+00
    25    0.43246E+04    0.96930E-03   -0.17180E+00
    26    0.46917E+04    0.11958E-02   -0.20301E+00
    27    0.50711E+04    0.14661E-02   -0.23796E+00
    28    0.54625E+04    0.17845E-02   -0.27672E+00
    29    0.58662E+04    0.21613E-02   -0.32014E+00
    30    0.62824E+04    0.26066E-02   -0.36920E+00
    31    0.67111E+04    0.31241E-02   -0.42482E+00
    32    0.71523E+04    0.37175E-02   -0.48789E+00
    33    0.76053E+04    0.43970E-02   -0.55922E+00
    34    0.80700E+04    0.51758E-02   -0.63938E+00
    35    0.85466E+04    0.60740E-02   -0.72799E+00
    36    0.90360E+04    0.71108E-02   -0.82493E+00
    37    0.95385E+04    0.82966E-02   -0.93189E+00
    38    0.10054E+05    0.96421E-02   -0.10506E+01
    39    0.10583E+05    0.11170E-01   -0.11811E+01
    40    0.11125E+05    0.12905E-01   -0.13228E+01
    41    0.11679E+05    0.14870E-01   -0.14759E+01
    42    0.12245E+05    0.17081E-01   -0.16415E+01
    43    0.12824E+05    0.19549E-01   -0.18214E+01
    44    0.13416E+05    0.22289E-01   -0.20172E+01
    45    0.14022E+05    0.25312E-01   -0.22307E+01
    46    0.14641E+05    0.28635E-01   -0.24632E+01
