#    L    TT             EE             BB             TE          
     2    0.15590E+01    0.54644E-02    0.53389E-02   -0.19874E-02
     3    0.28478E+01    0.15408E-01    0.15367E-01   -0.77280E-02
     4    0.48693E+01    0.28522E-01    0.28282E-01   -0.12384E-01
     5    0.76796E+01    0.47152E-01    0.46966E-01   -0.16271E-01
     6    0.11404E+02    0.68994E-01    0.68819E-01   -0.18984E-01
     7    0.16210E+02    0.96697E-01    0.96553E-01   -0.21878E-01
     8    0.22177E+02    0.12728E+00    0.12734E+00   -0.26652E-01
     9    0.29510E+02    0.16413E+00    0.16422E+00   -0.34726E-01
    10    0.38367E+02    0.20404E+00    0.20407E+00   -0.47141E-01
    11    0.48777E+02    0.25007E+00    0.25015E+00   -0.66171E-01
    12    0.60868E+02    0.30024E+00    0.30035E+00   -0.93487E-01
    13    0.74817E+02    0.35448E+00    0.35460E+00   -0.13108E+00
    14    0.90807E+02    0.41359E+00    0.41368E+00   -0.18110E+00
    15    0.10902E+03    0.47748E+00    0.47754E+00   -0.24566E+00
    16    0.12962E+03    0.54592E+00    0.54597E+00   -0.32708E+00
    17    0.15261E+03    0.61890E+00    0.61896E+00   -0.42847E+00
    18    0.17799E+03    0.69648E+00    0.69654E+00   -0.55294E+00
    19    0.20582E+03    0.77866E+00    0.77870E+00   -0.70274E+00
    20    0.23619E+03    0.86541E+00    0.86540E+00   -0.88031E+00
    21    0.26923E+03    0.95674E+00    0.95662E+00   -0.10897E+01
    22    0.30503E+03    0.10526E+01    0.10523E+01   -0.13353E+01
    23    0.34361E+03    0.11531E+01    0.11525E+01   -0.16203E+01
    24    0.38499E+03    0.12580E+01    0.12572E+01   -0.19478E+01
    25    0.42922E+03    0.13673E+01    0.13662E+01   -0.23220E+01
    26    0.47641E+03    0.14809E+01    0.14795E+01   -0.27463E+01
    27    0.52653E+03    0.15988E+01    0.15972E+01   -0.32221E+01
    28    0.57956E+03    0.17209E+01    0.17191E+01   -0.37512E+01
    29    0.63550E+03    0.18475E+01    0.18453E+01   -0.43384E+01
    30    0.69435E+03    0.19786E+01    0.19758E+01   -0.49889E+01
    31    0.75611E+03    0.21143E+01    0.21105E+01   -0.57064E+01
    32    0.82080E+03    0.22545E+01    0.22495E+01   -0.64935E+01
    33    0.88830E+03    0.23990E+01    0.23926E+01   -0.73514E+01
    34    0.95854E+03    0.25475E+01    0.25398E+01   -0.82807E+01
    35    0.10315E+04    0.27000E+01    0.26910E+01   -0.92829E+01
    36    0.11071E+04    0.28563E+01    0.28461E+01   -0.10360E+02
    37    0.11854E+04    0.30168E+01    0.30052E+01   -0.11513E+02
    38    0.12662E+04    0.31820E+01    0.31683E+01   -0.12746E+02
    39    0.13494E+04    0.33517E+01    0.33353E+01   -0.14058E+02
    40    0.14349E+04    0.35255E+01    0.35062E+01   -0.15450E+02
    41    0.15227E+04    0.37032E+01    0.36809E+01   -0.16922E+02
    42    0.16125E+04    0.38848E+01    0.38594E+01   -0.18475E+02
    43    0.17042E+04    0.40703E+01    0.40415E+01   -0.20109E+02
    44    0.17978E+04    0.42597E+01    0.42273E+01   -0.21822E+02
    45    0.18931E+04    0.44532E+01    0.44166E+01   -0.23616E+02
    46    0.19899E+04    0.46508E+01    0.46095E+01   -0.25489E+02
    47    0.20882E+04    0.48524E+01    0.48059E+01   -0.27441E+02
    48    0.21877E+04    0.50580E+01    0.50056E+01   -0.29469E+02
    49    0.22883E+04    0.52675E+01    0.52087E+01   -0.31572E+02
    50    0.23898E+04    0.54810E+01    0.54151E+01   -0.33749E+02
    51    0.24922E+04    0.56982E+01    0.56247E+01   -0.35998E+02
    52    0.25952E+04    0.59193E+01    0.58374E+01   -0.38317E+02
    53    0.26986E+04    0.61442E+01    0.60533E+01   -0.40703E+02
    54    0.28023E+04    0.63727E+01    0.62721E+01   -0.43153E+02
    55    0.29061E+04    0.66049E+01    0.64938E+01   -0.45665E+02
    56    0.30099E+04    0.68407E+01    0.67184E+01   -0.48237E+02
    57    0.31134E+04    0.70801E+01    0.69458E+01   -0.50864E+02
    58    0.32166E+04    0.73231E+01    0.71758E+01   -0.53544E+02
    59    0.33191E+04    0.75697E+01    0.74084E+01   -0.56273E+02
    60    0.34207E+04    0.78200E+01    0.76436E+01   -0.59047E+02
    61    0.35214E+04    0.80739E+01    0.78811E+01   -0.61864E+02
    62    0.36210E+04    0.83313E+01    0.81209E+01   -0.64720E+02
    63    0.37193E+04    0.85921E+01    0.83630E+01   -0.67612E+02
    64    0.38161E+04    0.88562E+01    0.86072E+01   -0.70538E+02
    65    0.39114E+04    0.91235E+01    0.88535E+01   -0.73493E+02
    66    0.40049E+04    0.93939E+01    0.91016E+01   -0.76474E+02
    67    0.40966E+04    0.96673E+01    0.93517E+01   -0.79477E+02
    68    0.41862E+04    0.99439E+01    0.96036E+01   -0.82496E+02
    69    0.42735E+04    0.10224E+02    0.98573E+01   -0.85525E+02
    70    0.43585E+04    0.10507E+02    0.10113E+02   -0.88560E+02
    71    0.44409E+04    0.10793E+02    0.10370E+02   -0.91596E+02
    72    0.45205E+04    0.11082E+02    0.10629E+02   -0.94631E+02
    73    0.45975E+04    0.11376E+02    0.10889E+02   -0.97663E+02
    74    0.46715E+04    0.11672E+02    0.11152E+02   -0.10069E+03
