#    L    TT             EE             TE          
   117    0.35954E+02    0.10186E-01   -0.35223E+00
   118    0.36370E+02    0.10311E-01   -0.35894E+00
   119    0.36789E+02    0.10432E-01   -0.36558E+00
   120    0.37209E+02    0.10549E-01   -0.37213E+00
   121    0.37630E+02    0.10663E-01   -0.37859E+00
   122    0.38053E+02    0.10773E-01   -0.38496E+00
   123    0.38478E+02    0.10879E-01   -0.39123E+00
   124    0.38903E+02    0.10980E-01   -0.39739E+00
   125    0.39330E+02    0.11078E-01   -0.40343E+00
   126    0.39758E+02    0.11171E-01   -0.40936E+00
   127    0.40186E+02    0.11260E-01   -0.41516E+00
   128    0.40616E+02    0.11344E-01   -0.42082E+00
   129    0.41046E+02    0.11423E-01   -0.42635E+00
   130    0.41477E+02    0.11497E-01   -0.43173E+00
   131    0.41909E+02    0.11567E-01   -0.43696E+00
   132    0.42341E+02    0.11631E-01   -0.44203E+00
   133    0.42773E+02    0.11690E-01   -0.44693E+00
   134    0.43206E+02    0.11745E-01   -0.45167E+00
   135    0.43639E+02    0.11794E-01   -0.45623E+00
   136    0.44072E+02    0.11838E-01   -0.46061E+00
   137    0.44505E+02    0.11877E-01   -0.46480E+00
   138    0.44938E+02    0.11911E-01   -0.46880E+00
   139    0.45371E+02    0.11940E-01   -0.47260E+00
   140    0.45803E+02    0.11964E-01   -0.47620E+00
   141    0.46236E+02    0.11982E-01   -0.47958E+00
   142    0.46667E+02    0.11996E-01   -0.48276E+00
   143    0.47098E+02    0.12004E-01   -0.48571E+00
   144    0.47528E+02    0.12007E-01   -0.48843E+00
   145    0.47958E+02    0.12005E-01   -0.49092E+00
   146    0.48387E+02    0.11998E-01   -0.49317E+00
   147    0.48814E+02    0.11986E-01   -0.49518E+00
   148    0.49241E+02    0.11968E-01   -0.49693E+00
   149    0.49667E+02    0.11945E-01   -0.49843E+00
   150    0.50091E+02    0.11917E-01   -0.49967E+00
   151    0.50514E+02    0.11884E-01   -0.50064E+00
   152    0.50935E+02    0.11845E-01   -0.50135E+00
   153    0.51355E+02    0.11802E-01   -0.50178E+00
   154    0.51773E+02    0.11754E-01   -0.50193E+00
   155    0.52189E+02    0.11702E-01   -0.50181E+00
   156    0.52604E+02    0.11645E-01   -0.50140E+00
   157    0.53016E+02    0.11584E-01   -0.50072E+00
   158    0.53426E+02    0.11519E-01   -0.49975E+00
   159    0.53834E+02    0.11450E-01   -0.49849E+00
   160    0.54239E+02    0.11378E-01   -0.49694E+00
   161    0.54642E+02    0.11303E-01   -0.49509E+00
   162    0.55043E+02    0.11224E-01   -0.49295E+00
   163    0.55440E+02    0.11142E-01   -0.49052E+00
   164    0.55835E+02    0.11057E-01   -0.48778E+00
   165    0.56227E+02    0.10970E-01   -0.48474E+00
   166    0.56616E+02    0.10880E-01   -0.48139E+00
   167    0.57001E+02    0.10788E-01   -0.47774E+00
   168    0.57383E+02    0.10693E-01   -0.47377E+00
   169    0.57762E+02    0.10597E-01   -0.46949E+00
   170    0.58137E+02    0.10499E-01   -0.46489E+00
   171    0.58509E+02    0.10400E-01   -0.45998E+00
   172    0.58876E+02    0.10299E-01   -0.45474E+00
   173    0.59240E+02    0.10197E-01   -0.44918E+00
   174    0.59600E+02    0.10094E-01   -0.44329E+00
   175    0.59956E+02    0.99896E-02   -0.43708E+00
   176    0.60307E+02    0.98851E-02   -0.43053E+00
   177    0.60655E+02    0.97804E-02   -0.42365E+00
   178    0.60997E+02    0.96759E-02   -0.41645E+00
   179    0.61335E+02    0.95719E-02   -0.40891E+00
   180    0.61669E+02    0.94690E-02   -0.40105E+00
   181    0.61998E+02    0.93674E-02   -0.39286E+00
   182    0.62321E+02    0.92676E-02   -0.38435E+00
   183    0.62640E+02    0.91700E-02   -0.37551E+00
   184    0.62954E+02    0.90749E-02   -0.36636E+00
   185    0.63263E+02    0.89829E-02   -0.35687E+00
   186    0.63566E+02    0.88943E-02   -0.34707E+00
   187    0.63864E+02    0.88095E-02   -0.33695E+00
   188    0.64156E+02    0.87289E-02   -0.32652E+00
   189    0.64443E+02    0.86529E-02   -0.31576E+00
   190    0.64724E+02    0.85819E-02   -0.30469E+00
   191    0.64999E+02    0.85163E-02   -0.29330E+00
   192    0.65269E+02    0.84566E-02   -0.28160E+00
   193    0.65532E+02    0.84031E-02   -0.26959E+00
   194    0.65789E+02    0.83562E-02   -0.25726E+00
   195    0.66040E+02    0.83163E-02   -0.24463E+00
   196    0.66284E+02    0.82839E-02   -0.23169E+00
   197    0.66523E+02    0.82593E-02   -0.21843E+00
   198    0.66754E+02    0.82429E-02   -0.20488E+00
   199    0.66979E+02    0.82352E-02   -0.19101E+00
   200    0.67197E+02    0.82365E-02   -0.17684E+00
   201    0.67408E+02    0.82473E-02   -0.16237E+00
   202    0.67612E+02    0.82680E-02   -0.14760E+00
   203    0.67810E+02    0.82990E-02   -0.13254E+00
   204    0.68000E+02    0.83409E-02   -0.11720E+00
   205    0.68184E+02    0.83940E-02   -0.10159E+00
   206    0.68360E+02    0.84588E-02   -0.85706E-01
   207    0.68529E+02    0.85358E-02   -0.69566E-01
   208    0.68692E+02    0.86254E-02   -0.53173E-01
   209    0.68847E+02    0.87280E-02   -0.36535E-01
   210    0.68995E+02    0.88442E-02   -0.19660E-01
   211    0.69136E+02    0.89744E-02   -0.25542E-02
   212    0.69270E+02    0.91189E-02    0.14774E-01
   213    0.69396E+02    0.92784E-02    0.32318E-01
   214    0.69516E+02    0.94532E-02    0.50071E-01
   215    0.69628E+02    0.96438E-02    0.68024E-01
   216    0.69733E+02    0.98506E-02    0.86171E-01
   217    0.69830E+02    0.10074E-01    0.10450E+00
   218    0.69920E+02    0.10315E-01    0.12302E+00
   219    0.70003E+02    0.10573E-01    0.14170E+00
   220    0.70079E+02    0.10849E-01    0.16055E+00
   221    0.70147E+02    0.11144E-01    0.17955E+00
   222    0.70207E+02    0.11458E-01    0.19870E+00
   223    0.70261E+02    0.11791E-01    0.21800E+00
   224    0.70306E+02    0.12144E-01    0.23743E+00
   225    0.70344E+02    0.12517E-01    0.25699E+00
   226    0.70375E+02    0.12911E-01    0.27666E+00
   227    0.70398E+02    0.13326E-01    0.29646E+00
   228    0.70414E+02    0.13763E-01    0.31635E+00
   229    0.70422E+02    0.14222E-01    0.33634E+00
   230    0.70422E+02    0.14704E-01    0.35643E+00
   231    0.70414E+02    0.15209E-01    0.37660E+00
   232    0.70399E+02    0.15737E-01    0.39684E+00
   233    0.70376E+02    0.16289E-01    0.41715E+00
   234    0.70346E+02    0.16865E-01    0.43753E+00
   235    0.70307E+02    0.17466E-01    0.45796E+00
   236    0.70261E+02    0.18093E-01    0.47843E+00
   237    0.70207E+02    0.18745E-01    0.49894E+00
   238    0.70145E+02    0.19424E-01    0.51949E+00
   239    0.70075E+02    0.20129E-01    0.54006E+00
   240    0.69998E+02    0.20861E-01    0.56065E+00
   241    0.69912E+02    0.21621E-01    0.58124E+00
   242    0.69819E+02    0.22409E-01    0.60184E+00
   243    0.69717E+02    0.23225E-01    0.62244E+00
   244    0.69608E+02    0.24069E-01    0.64302E+00
   245    0.69490E+02    0.24942E-01    0.66357E+00
   246    0.69365E+02    0.25844E-01    0.68410E+00
   247    0.69233E+02    0.26773E-01    0.70458E+00
   248    0.69093E+02    0.27732E-01    0.72501E+00
   249    0.68946E+02    0.28718E-01    0.74538E+00
   250    0.68791E+02    0.29733E-01    0.76568E+00
   251    0.68629E+02    0.30777E-01    0.78590E+00
   252    0.68460E+02    0.31849E-01    0.80603E+00
   253    0.68284E+02    0.32949E-01    0.82607E+00
   254    0.68101E+02    0.34077E-01    0.84600E+00
   255    0.67911E+02    0.35234E-01    0.86581E+00
   256    0.67715E+02    0.36419E-01    0.88549E+00
   257    0.67512E+02    0.37633E-01    0.90504E+00
   258    0.67302E+02    0.38875E-01    0.92445E+00
   259    0.67086E+02    0.40145E-01    0.94370E+00
   260    0.66864E+02    0.41443E-01    0.96279E+00
   261    0.66636E+02    0.42770E-01    0.98171E+00
   262    0.66401E+02    0.44125E-01    0.10004E+01
   263    0.66160E+02    0.45508E-01    0.10190E+01
   264    0.65914E+02    0.46920E-01    0.10373E+01
   265    0.65661E+02    0.48360E-01    0.10555E+01
