#    L    TT             EE             BB             TE          
     2    0.44547E+00    0.15624E-02    0.15265E-02   -0.56784E-03
     3    0.81369E+00    0.44061E-02    0.43943E-02   -0.22081E-02
     4    0.13913E+01    0.81570E-02    0.80885E-02   -0.35385E-02
     5    0.21943E+01    0.13487E-01    0.13434E-01   -0.46495E-02
     6    0.32584E+01    0.19736E-01    0.19686E-01   -0.54248E-02
     7    0.46317E+01    0.27664E-01    0.27623E-01   -0.62524E-02
     8    0.63369E+01    0.36418E-01    0.36434E-01   -0.76178E-02
     9    0.84322E+01    0.46966E-01    0.46992E-01   -0.99265E-02
    10    0.10963E+02    0.58388E-01    0.58398E-01   -0.13476E-01
    11    0.13938E+02    0.71569E-01    0.71590E-01   -0.18917E-01
    12    0.17393E+02    0.85932E-01    0.85964E-01   -0.26727E-01
    13    0.21379E+02    0.10146E+00    0.10150E+00   -0.37475E-01
    14    0.25948E+02    0.11839E+00    0.11841E+00   -0.51775E-01
    15    0.31154E+02    0.13669E+00    0.13670E+00   -0.70232E-01
    16    0.37040E+02    0.15629E+00    0.15630E+00   -0.93508E-01
    17    0.43609E+02    0.17719E+00    0.17721E+00   -0.12249E+00
    18    0.50862E+02    0.19941E+00    0.19943E+00   -0.15808E+00
    19    0.58815E+02    0.22295E+00    0.22296E+00   -0.20091E+00
    20    0.67495E+02    0.24780E+00    0.24780E+00   -0.25167E+00
    21    0.76936E+02    0.27397E+00    0.27393E+00   -0.31154E+00
    22    0.87168E+02    0.30144E+00    0.30136E+00   -0.38174E+00
    23    0.98195E+02    0.33022E+00    0.33006E+00   -0.46321E+00
    24    0.11002E+03    0.36028E+00    0.36004E+00   -0.55686E+00
    25    0.12266E+03    0.39160E+00    0.39128E+00   -0.66382E+00
    26    0.13615E+03    0.42416E+00    0.42376E+00   -0.78512E+00
    27    0.15047E+03    0.45794E+00    0.45748E+00   -0.92116E+00
    28    0.16563E+03    0.49294E+00    0.49243E+00   -0.10724E+01
    29    0.18162E+03    0.52921E+00    0.52860E+00   -0.12403E+01
    30    0.19843E+03    0.56679E+00    0.56600E+00   -0.14263E+01
    31    0.21609E+03    0.60568E+00    0.60461E+00   -0.16314E+01
    32    0.23458E+03    0.64587E+00    0.64444E+00   -0.18564E+01
    33    0.25387E+03    0.68729E+00    0.68546E+00   -0.21017E+01
    34    0.27395E+03    0.72987E+00    0.72765E+00   -0.23674E+01
    35    0.29480E+03    0.77357E+00    0.77099E+00   -0.26539E+01
    36    0.31642E+03    0.81838E+00    0.81547E+00   -0.29618E+01
    37    0.33879E+03    0.86440E+00    0.86108E+00   -0.32916E+01
    38    0.36189E+03    0.91177E+00    0.90784E+00   -0.36439E+01
    39    0.38567E+03    0.96041E+00    0.95573E+00   -0.40190E+01
    40    0.41012E+03    0.10102E+01    0.10047E+01   -0.44170E+01
    41    0.43519E+03    0.10612E+01    0.10548E+01   -0.48380E+01
    42    0.46087E+03    0.11133E+01    0.11060E+01   -0.52821E+01
    43    0.48710E+03    0.11665E+01    0.11582E+01   -0.57491E+01
    44    0.51385E+03    0.12208E+01    0.12115E+01   -0.62391E+01
    45    0.54108E+03    0.12763E+01    0.12658E+01   -0.67519E+01
    46    0.56876E+03    0.13329E+01    0.13211E+01   -0.72874E+01
    47    0.59685E+03    0.13908E+01    0.13775E+01   -0.78454E+01
    48    0.62529E+03    0.14497E+01    0.14347E+01   -0.84253E+01
    49    0.65405E+03    0.15098E+01    0.14930E+01   -0.90267E+01
    50    0.68309E+03    0.15710E+01    0.15522E+01   -0.96492E+01
    51    0.71234E+03    0.16333E+01    0.16123E+01   -0.10292E+02
    52    0.74178E+03    0.16968E+01    0.16734E+01   -0.10955E+02
    53    0.77135E+03    0.17613E+01    0.17353E+01   -0.11637E+02
    54    0.80100E+03    0.18268E+01    0.17981E+01   -0.12338E+02
    55    0.83068E+03    0.18934E+01    0.18617E+01   -0.13056E+02
    56    0.86036E+03    0.19611E+01    0.19261E+01   -0.13792E+02
    57    0.88996E+03    0.20297E+01    0.19913E+01   -0.14543E+02
    58    0.91944E+03    0.20995E+01    0.20574E+01   -0.15309E+02
    59    0.94874E+03    0.21702E+01    0.21241E+01   -0.16089E+02
    60    0.97782E+03    0.22420E+01    0.21916E+01   -0.16883E+02
    61    0.10066E+04    0.23149E+01    0.22597E+01   -0.17688E+02
    62    0.10351E+04    0.23887E+01    0.23286E+01   -0.18505E+02
    63    0.10632E+04    0.24636E+01    0.23981E+01   -0.19332E+02
