#    L    TT             EE             TE          
     2    0.55917E-03    0.20190E-07    0.68261E-06
     3    0.88692E-03    0.33849E-07    0.86208E-06
     4    0.12965E-02    0.36237E-07    0.83811E-06
     5    0.17815E-02    0.30852E-07    0.65642E-06
     6    0.23351E-02    0.25438E-07    0.38205E-06
     7    0.29545E-02    0.24751E-07    0.66001E-07
     8    0.36363E-02    0.28311E-07   -0.21845E-06
     9    0.43787E-02    0.32887E-07   -0.43791E-06
    10    0.51809E-02    0.36232E-07   -0.56789E-06
    11    0.60358E-02    0.38943E-07   -0.59279E-06
    12    0.69392E-02    0.43780E-07   -0.52063E-06
    13    0.78900E-02    0.52308E-07   -0.41710E-06
    14    0.88867E-02    0.65069E-07   -0.35391E-06
    15    0.99239E-02    0.80218E-07   -0.37117E-06
    16    0.10997E-01    0.95753E-07   -0.50253E-06
    17    0.12106E-01    0.11142E-06   -0.78756E-06
    18    0.13252E-01    0.12786E-06   -0.12640E-05
    19    0.14432E-01    0.14743E-06   -0.19566E-05
    20    0.15644E-01    0.17262E-06   -0.28809E-05
    21    0.16887E-01    0.20464E-06   -0.40283E-05
    22    0.18161E-01    0.24402E-06   -0.53834E-05
    23    0.19464E-01    0.28990E-06   -0.69266E-05
    24    0.20791E-01    0.34145E-06   -0.86445E-05
    25    0.22140E-01    0.39931E-06   -0.10552E-04
    26    0.23510E-01    0.46442E-06   -0.12666E-04
    27    0.24902E-01    0.53740E-06   -0.14989E-04
    28    0.26316E-01    0.61879E-06   -0.17532E-04
    29    0.27750E-01    0.70905E-06   -0.20353E-04
    30    0.29204E-01    0.80852E-06   -0.23502E-04
    31    0.30677E-01    0.91705E-06   -0.26957E-04
    32    0.32170E-01    0.10346E-05   -0.30693E-04
    33    0.33681E-01    0.11623E-05   -0.34761E-04
    34    0.35206E-01    0.13014E-05   -0.39207E-04
    35    0.36742E-01    0.14531E-05   -0.43993E-04
    36    0.38285E-01    0.16184E-05   -0.49073E-04
    37    0.39842E-01    0.17967E-05   -0.54469E-04
    38    0.41417E-01    0.19873E-05   -0.60213E-04
    39    0.43007E-01    0.21913E-05   -0.66306E-04
    40    0.44608E-01    0.24102E-05   -0.72742E-04
    41    0.46217E-01    0.26452E-05   -0.79522E-04
    42    0.47833E-01    0.28965E-05   -0.86666E-04
    43    0.49457E-01    0.31639E-05   -0.94197E-04
    44    0.51089E-01    0.34475E-05   -0.10214E-03
    45    0.52730E-01    0.37470E-05   -0.11052E-03
    46    0.54379E-01    0.40626E-05   -0.11937E-03
    47    0.56037E-01    0.43954E-05   -0.12869E-03
    48    0.57702E-01    0.47465E-05   -0.13849E-03
    49    0.59375E-01    0.51170E-05   -0.14880E-03
    50    0.61054E-01    0.55082E-05   -0.15962E-03
    51    0.62740E-01    0.59211E-05   -0.17097E-03
    52    0.64432E-01    0.63557E-05   -0.18283E-03
    53    0.66130E-01    0.68117E-05   -0.19521E-03
    54    0.67834E-01    0.72890E-05   -0.20810E-03
    55    0.69543E-01    0.77874E-05   -0.22150E-03
    56    0.71257E-01    0.83068E-05   -0.23540E-03
    57    0.72977E-01    0.88478E-05   -0.24983E-03
    58    0.74701E-01    0.94112E-05   -0.26480E-03
    59    0.76431E-01    0.99979E-05   -0.28035E-03
    60    0.78165E-01    0.10609E-04   -0.29651E-03
    61    0.79904E-01    0.11244E-04   -0.31329E-03
    62    0.81647E-01    0.11904E-04   -0.33070E-03
    63    0.83396E-01    0.12590E-04   -0.34874E-03
    64    0.85149E-01    0.13301E-04   -0.36742E-03
    65    0.86908E-01    0.14037E-04   -0.38674E-03
    66    0.88672E-01    0.14798E-04   -0.40671E-03
    67    0.90441E-01    0.15585E-04   -0.42731E-03
    68    0.92214E-01    0.16398E-04   -0.44853E-03
    69    0.93991E-01    0.17236E-04   -0.47038E-03
    70    0.95772E-01    0.18101E-04   -0.49283E-03
    71    0.97556E-01    0.18991E-04   -0.51589E-03
    72    0.99344E-01    0.19907E-04   -0.53958E-03
    73    0.10114E+00    0.20849E-04   -0.56391E-03
    74    0.10293E+00    0.21818E-04   -0.58892E-03
    75    0.10474E+00    0.22813E-04   -0.61462E-03
    76    0.10655E+00    0.23835E-04   -0.64103E-03
    77    0.10837E+00    0.24883E-04   -0.66815E-03
