#    L    TT             EE             BB             TE          
    90    0.54711E-03    0.54657E-05    0.54201E-05   -0.93055E-05
    91    0.57142E-03    0.55856E-05    0.55380E-05   -0.95898E-05
    92    0.59656E-03    0.57068E-05    0.56570E-05   -0.98796E-05
    93    0.62255E-03    0.58292E-05    0.57771E-05   -0.10175E-04
    94    0.64938E-03    0.59527E-05    0.58983E-05   -0.10476E-04
    95    0.67709E-03    0.60774E-05    0.60205E-05   -0.10782E-04
    96    0.70567E-03    0.62033E-05    0.61438E-05   -0.11095E-04
    97    0.73514E-03    0.63304E-05    0.62682E-05   -0.11413E-04
    98    0.76552E-03    0.64586E-05    0.63937E-05   -0.11736E-04
    99    0.79681E-03    0.65881E-05    0.65202E-05   -0.12066E-04
   100    0.82903E-03    0.67187E-05    0.66478E-05   -0.12402E-04
   101    0.86218E-03    0.68505E-05    0.67764E-05   -0.12744E-04
   102    0.89629E-03    0.69835E-05    0.69061E-05   -0.13091E-04
   103    0.93136E-03    0.71177E-05    0.70369E-05   -0.13445E-04
   104    0.96741E-03    0.72530E-05    0.71687E-05   -0.13805E-04
   105    0.10044E-02    0.73896E-05    0.73015E-05   -0.14172E-04
   106    0.10425E-02    0.75273E-05    0.74354E-05   -0.14545E-04
   107    0.10815E-02    0.76662E-05    0.75704E-05   -0.14924E-04
   108    0.11216E-02    0.78063E-05    0.77063E-05   -0.15309E-04
   109    0.11627E-02    0.79476E-05    0.78433E-05   -0.15701E-04
   110    0.12048E-02    0.80900E-05    0.79814E-05   -0.16100E-04
   111    0.12480E-02    0.82336E-05    0.81205E-05   -0.16505E-04
   112    0.12923E-02    0.83784E-05    0.82606E-05   -0.16918E-04
   113    0.13376E-02    0.85244E-05    0.84017E-05   -0.17338E-04
   114    0.13840E-02    0.86716E-05    0.85438E-05   -0.17768E-04
   115    0.14313E-02    0.88198E-05    0.86869E-05   -0.18206E-04
   116    0.14797E-02    0.89693E-05    0.88311E-05   -0.18654E-04
   117    0.15292E-02    0.91198E-05    0.89762E-05   -0.19113E-04
   118    0.15796E-02    0.92715E-05    0.91223E-05   -0.19583E-04
   119    0.16310E-02    0.94243E-05    0.92694E-05   -0.20065E-04
   120    0.16835E-02    0.95782E-05    0.94175E-05   -0.20559E-04
   121    0.17369E-02    0.97332E-05    0.95665E-05   -0.21066E-04
   122    0.17913E-02    0.98893E-05    0.97165E-05   -0.21588E-04
   123    0.18467E-02    0.10046E-04    0.98675E-05   -0.22123E-04
   124    0.19030E-02    0.10205E-04    0.10019E-04   -0.22674E-04
   125    0.19603E-02    0.10364E-04    0.10172E-04   -0.23240E-04
   126    0.20186E-02    0.10524E-04    0.10326E-04   -0.23823E-04
   127    0.20778E-02    0.10686E-04    0.10481E-04   -0.24423E-04
   128    0.21379E-02    0.10848E-04    0.10636E-04   -0.25041E-04
   129    0.21990E-02    0.11012E-04    0.10793E-04   -0.25677E-04
   130    0.22610E-02    0.11176E-04    0.10950E-04   -0.26332E-04
   131    0.23239E-02    0.11342E-04    0.11109E-04   -0.27006E-04
   132    0.23877E-02    0.11509E-04    0.11268E-04   -0.27702E-04
   133    0.24524E-02    0.11676E-04    0.11428E-04   -0.28419E-04
   134    0.25178E-02    0.11845E-04    0.11590E-04   -0.29160E-04
   135    0.25841E-02    0.12015E-04    0.11752E-04   -0.29925E-04
   136    0.26511E-02    0.12186E-04    0.11915E-04   -0.30715E-04
   137    0.27188E-02    0.12357E-04    0.12078E-04   -0.31533E-04
   138    0.27871E-02    0.12530E-04    0.12243E-04   -0.32378E-04
   139    0.28561E-02    0.12704E-04    0.12409E-04   -0.33252E-04
   140    0.29257E-02    0.12880E-04    0.12576E-04   -0.34157E-04
   141    0.29958E-02    0.13056E-04    0.12743E-04   -0.35093E-04
   142    0.30665E-02    0.13233E-04    0.12912E-04   -0.36062E-04
   143    0.31377E-02    0.13412E-04    0.13081E-04   -0.37064E-04
   144    0.32093E-02    0.13591E-04    0.13252E-04   -0.38102E-04
   145    0.32814E-02    0.13772E-04    0.13423E-04   -0.39176E-04
   146    0.33538E-02    0.13954E-04    0.13595E-04   -0.40287E-04
   147    0.34266E-02    0.14137E-04    0.13768E-04   -0.41437E-04
   148    0.34997E-02    0.14321E-04    0.13943E-04   -0.42627E-04
   149    0.35731E-02    0.14507E-04    0.14118E-04   -0.43857E-04
   150    0.36467E-02    0.14693E-04    0.14294E-04   -0.45130E-04
   151    0.37205E-02    0.14881E-04    0.14471E-04   -0.46445E-04
   152    0.37945E-02    0.15070E-04    0.14649E-04   -0.47804E-04
   153    0.38686E-02    0.15260E-04    0.14827E-04   -0.49205E-04
   154    0.39427E-02    0.15452E-04    0.15007E-04   -0.50648E-04
   155    0.40169E-02    0.15644E-04    0.15187E-04   -0.52134E-04
   156    0.40910E-02    0.15838E-04    0.15368E-04   -0.53660E-04
   157    0.41649E-02    0.16033E-04    0.15550E-04   -0.55228E-04
   158    0.42388E-02    0.16230E-04    0.15733E-04   -0.56836E-04
   159    0.43124E-02    0.16428E-04    0.15916E-04   -0.58484E-04
   160    0.43857E-02    0.16627E-04    0.16100E-04   -0.60173E-04
   161    0.44587E-02    0.16828E-04    0.16284E-04   -0.61901E-04
   162    0.45314E-02    0.17029E-04    0.16469E-04   -0.63668E-04
   163    0.46036E-02    0.17233E-04    0.16654E-04   -0.65474E-04
   164    0.46754E-02    0.17437E-04    0.16840E-04   -0.67318E-04
   165    0.47467E-02    0.17643E-04    0.17026E-04   -0.69200E-04
   166    0.48173E-02    0.17851E-04    0.17212E-04   -0.71120E-04
   167    0.48874E-02    0.18060E-04    0.17399E-04   -0.73077E-04
   168    0.49567E-02    0.18270E-04    0.17586E-04   -0.75071E-04
   169    0.50253E-02    0.18482E-04    0.17773E-04   -0.77102E-04
   170    0.50932E-02    0.18695E-04    0.17960E-04   -0.79168E-04
   171    0.51602E-02    0.18910E-04    0.18148E-04   -0.81270E-04
   172    0.52263E-02    0.19127E-04    0.18335E-04   -0.83408E-04
   173    0.52914E-02    0.19344E-04    0.18523E-04   -0.85581E-04
   174    0.53556E-02    0.19564E-04    0.18711E-04   -0.87788E-04
   175    0.54187E-02    0.19785E-04    0.18899E-04   -0.90030E-04
   176    0.54808E-02    0.20007E-04    0.19086E-04   -0.92305E-04
   177    0.55416E-02    0.20231E-04    0.19274E-04   -0.94611E-04
   178    0.56013E-02    0.20457E-04    0.19461E-04   -0.96945E-04
   179    0.56597E-02    0.20685E-04    0.19648E-04   -0.99306E-04
   180    0.57168E-02    0.20913E-04    0.19835E-04   -0.10169E-03
   181    0.57725E-02    0.21144E-04    0.20021E-04   -0.10409E-03
   182    0.58269E-02    0.21376E-04    0.20207E-04   -0.10652E-03
   183    0.58797E-02    0.21610E-04    0.20392E-04   -0.10895E-03
   184    0.59311E-02    0.21846E-04    0.20577E-04   -0.11140E-03
   185    0.59809E-02    0.22083E-04    0.20761E-04   -0.11386E-03
   186    0.60291E-02    0.22322E-04    0.20944E-04   -0.11633E-03
   187    0.60756E-02    0.22563E-04    0.21126E-04   -0.11880E-03
   188    0.61203E-02    0.22805E-04    0.21308E-04   -0.12127E-03
   189    0.61634E-02    0.23050E-04    0.21489E-04   -0.12374E-03
   190    0.62046E-02    0.23296E-04    0.21668E-04   -0.12621E-03
   191    0.62439E-02    0.23543E-04    0.21847E-04   -0.12867E-03
   192    0.62813E-02    0.23793E-04    0.22024E-04   -0.13112E-03
   193    0.63167E-02    0.24044E-04    0.22200E-04   -0.13356E-03
   194    0.63501E-02    0.24297E-04    0.22375E-04   -0.13598E-03
   195    0.63814E-02    0.24552E-04    0.22549E-04   -0.13839E-03
   196    0.64105E-02    0.24809E-04    0.22721E-04   -0.14078E-03
   197    0.64375E-02    0.25067E-04    0.22892E-04   -0.14314E-03
   198    0.64623E-02    0.25328E-04    0.23061E-04   -0.14549E-03
   199    0.64847E-02    0.25590E-04    0.23228E-04   -0.14780E-03
   200    0.65049E-02    0.25855E-04    0.23394E-04   -0.15008E-03
   201    0.65226E-02    0.26121E-04    0.23558E-04   -0.15233E-03
   202    0.65380E-02    0.26389E-04    0.23720E-04   -0.15454E-03
   203    0.65511E-02    0.26658E-04    0.23881E-04   -0.15672E-03
   204    0.65619E-02    0.26929E-04    0.24039E-04   -0.15886E-03
   205    0.65704E-02    0.27202E-04    0.24196E-04   -0.16097E-03
   206    0.65767E-02    0.27475E-04    0.24351E-04   -0.16303E-03
   207    0.65808E-02    0.27750E-04    0.24504E-04   -0.16505E-03
   208    0.65828E-02    0.28026E-04    0.24656E-04   -0.16703E-03
   209    0.65827E-02    0.28303E-04    0.24805E-04   -0.16897E-03
   210    0.65805E-02    0.28581E-04    0.24952E-04   -0.17086E-03
   211    0.65763E-02    0.28859E-04    0.25098E-04   -0.17270E-03
   212    0.65700E-02    0.29138E-04    0.25242E-04   -0.17450E-03
   213    0.65618E-02    0.29418E-04    0.25384E-04   -0.17625E-03
   214    0.65516E-02    0.29697E-04    0.25523E-04   -0.17795E-03
   215    0.65396E-02    0.29977E-04    0.25661E-04   -0.17959E-03
   216    0.65256E-02    0.30257E-04    0.25797E-04   -0.18119E-03
   217    0.65099E-02    0.30536E-04    0.25931E-04   -0.18273E-03
   218    0.64923E-02    0.30816E-04    0.26063E-04   -0.18421E-03
   219    0.64730E-02    0.31095E-04    0.26193E-04   -0.18564E-03
   220    0.64519E-02    0.31374E-04    0.26321E-04   -0.18701E-03
   221    0.64291E-02    0.31652E-04    0.26446E-04   -0.18831E-03
   222    0.64047E-02    0.31930E-04    0.26570E-04   -0.18956E-03
   223    0.63787E-02    0.32207E-04    0.26692E-04   -0.19075E-03
   224    0.63511E-02    0.32482E-04    0.26811E-04   -0.19187E-03
   225    0.63219E-02    0.32757E-04    0.26929E-04   -0.19293E-03
   226    0.62912E-02    0.33031E-04    0.27044E-04   -0.19393E-03
   227    0.62590E-02    0.33303E-04    0.27157E-04   -0.19485E-03
   228    0.62253E-02    0.33574E-04    0.27268E-04   -0.19571E-03
   229    0.61903E-02    0.33843E-04    0.27377E-04   -0.19650E-03
   230    0.61539E-02    0.34110E-04    0.27484E-04   -0.19721E-03
   231    0.61161E-02    0.34376E-04    0.27588E-04   -0.19786E-03
   232    0.60770E-02    0.34640E-04    0.27691E-04   -0.19843E-03
   233    0.60366E-02    0.34902E-04    0.27791E-04   -0.19892E-03
   234    0.59950E-02    0.35161E-04    0.27888E-04   -0.19934E-03
   235    0.59522E-02    0.35419E-04    0.27984E-04   -0.19968E-03
   236    0.59082E-02    0.35674E-04    0.28077E-04   -0.19994E-03
   237    0.58631E-02    0.35926E-04    0.28168E-04   -0.20013E-03
   238    0.58168E-02    0.36176E-04    0.28257E-04   -0.20023E-03
   239    0.57695E-02    0.36423E-04    0.28343E-04   -0.20024E-03
   240    0.57212E-02    0.36667E-04    0.28428E-04   -0.20018E-03
   241    0.56719E-02    0.36908E-04    0.28509E-04   -0.20002E-03
   242    0.56216E-02    0.37145E-04    0.28589E-04   -0.19979E-03
   243    0.55704E-02    0.37380E-04    0.28666E-04   -0.19946E-03
   244    0.55182E-02    0.37611E-04    0.28740E-04   -0.19904E-03
   245    0.54653E-02    0.37839E-04    0.28813E-04   -0.19853E-03
   246    0.54115E-02    0.38062E-04    0.28882E-04   -0.19793E-03
   247    0.53569E-02    0.38283E-04    0.28950E-04   -0.19724E-03
   248    0.53016E-02    0.38499E-04    0.29015E-04   -0.19645E-03
   249    0.52455E-02    0.38711E-04    0.29077E-04   -0.19557E-03
   250    0.51888E-02    0.38919E-04    0.29137E-04   -0.19459E-03
   251    0.51314E-02    0.39123E-04    0.29195E-04   -0.19351E-03
   252    0.50734E-02    0.39323E-04    0.29250E-04   -0.19234E-03
   253    0.50148E-02    0.39518E-04    0.29303E-04   -0.19107E-03
   254    0.49557E-02    0.39709E-04    0.29353E-04   -0.18971E-03
   255    0.48962E-02    0.39895E-04    0.29402E-04   -0.18826E-03
   256    0.48362E-02    0.40077E-04    0.29448E-04   -0.18672E-03
   257    0.47759E-02    0.40255E-04    0.29492E-04   -0.18509E-03
   258    0.47152E-02    0.40428E-04    0.29533E-04   -0.18339E-03
   259    0.46543E-02    0.40597E-04    0.29573E-04   -0.18160E-03
   260    0.45930E-02    0.40761E-04    0.29611E-04   -0.17974E-03
   261    0.45316E-02    0.40921E-04    0.29647E-04   -0.17779E-03
   262    0.44701E-02    0.41077E-04    0.29681E-04   -0.17578E-03
   263    0.44084E-02    0.41227E-04    0.29713E-04   -0.17369E-03
   264    0.43467E-02    0.41374E-04    0.29743E-04   -0.17153E-03
   265    0.42849E-02    0.41515E-04    0.29772E-04   -0.16931E-03
