#    L    TT             EE             TE          
   116    0.26312E+05    0.95937E+00   -0.42081E+02
   117    0.26780E+05    0.99525E+00   -0.43522E+02
   118    0.27253E+05    0.10319E+01   -0.44988E+02
   119    0.27731E+05    0.10694E+01   -0.46481E+02
   120    0.28214E+05    0.11077E+01   -0.47998E+02
   121    0.28701E+05    0.11468E+01   -0.49541E+02
   122    0.29193E+05    0.11866E+01   -0.51107E+02
   123    0.29689E+05    0.12273E+01   -0.52697E+02
   124    0.30191E+05    0.12688E+01   -0.54311E+02
   125    0.30697E+05    0.13110E+01   -0.55947E+02
   126    0.31208E+05    0.13541E+01   -0.57606E+02
   127    0.31724E+05    0.13979E+01   -0.59286E+02
   128    0.32245E+05    0.14425E+01   -0.60987E+02
   129    0.32771E+05    0.14880E+01   -0.62710E+02
   130    0.33302E+05    0.15342E+01   -0.64453E+02
   131    0.33837E+05    0.15812E+01   -0.66215E+02
   132    0.34378E+05    0.16290E+01   -0.67996E+02
   133    0.34923E+05    0.16775E+01   -0.69793E+02
   134    0.35473E+05    0.17269E+01   -0.71606E+02
   135    0.36028E+05    0.17770E+01   -0.73431E+02
   136    0.36588E+05    0.18279E+01   -0.75269E+02
   137    0.37153E+05    0.18796E+01   -0.77117E+02
   138    0.37723E+05    0.19321E+01   -0.78974E+02
   139    0.38298E+05    0.19853E+01   -0.80838E+02
   140    0.38878E+05    0.20392E+01   -0.82707E+02
   141    0.39463E+05    0.20939E+01   -0.84580E+02
   142    0.40053E+05    0.21494E+01   -0.86456E+02
   143    0.40648E+05    0.22056E+01   -0.88332E+02
   144    0.41248E+05    0.22626E+01   -0.90207E+02
   145    0.41853E+05    0.23202E+01   -0.92080E+02
   146    0.42462E+05    0.23787E+01   -0.93949E+02
   147    0.43077E+05    0.24378E+01   -0.95812E+02
   148    0.43697E+05    0.24977E+01   -0.97668E+02
   149    0.44322E+05    0.25583E+01   -0.99515E+02
   150    0.44952E+05    0.26196E+01   -0.10135E+03
   151    0.45587E+05    0.26816E+01   -0.10318E+03
   152    0.46227E+05    0.27445E+01   -0.10499E+03
   153    0.46872E+05    0.28081E+01   -0.10678E+03
   154    0.47522E+05    0.28727E+01   -0.10855E+03
   155    0.48177E+05    0.29382E+01   -0.11030E+03
   156    0.48837E+05    0.30047E+01   -0.11203E+03
   157    0.49502E+05    0.30723E+01   -0.11373E+03
   158    0.50172E+05    0.31410E+01   -0.11540E+03
   159    0.50846E+05    0.32109E+01   -0.11704E+03
   160    0.51526E+05    0.32820E+01   -0.11864E+03
   161    0.52210E+05    0.33545E+01   -0.12021E+03
   162    0.52899E+05    0.34283E+01   -0.12174E+03
   163    0.53593E+05    0.35036E+01   -0.12322E+03
   164    0.54291E+05    0.35804E+01   -0.12466E+03
   165    0.54994E+05    0.36587E+01   -0.12605E+03
   166    0.55702E+05    0.37386E+01   -0.12740E+03
   167    0.56415E+05    0.38202E+01   -0.12869E+03
   168    0.57132E+05    0.39035E+01   -0.12993E+03
   169    0.57854E+05    0.39886E+01   -0.13111E+03
   170    0.58581E+05    0.40755E+01   -0.13223E+03
   171    0.59312E+05    0.41644E+01   -0.13329E+03
   172    0.60048E+05    0.42552E+01   -0.13428E+03
   173    0.60788E+05    0.43480E+01   -0.13521E+03
   174    0.61533E+05    0.44430E+01   -0.13607E+03
   175    0.62282E+05    0.45400E+01   -0.13685E+03
   176    0.63036E+05    0.46393E+01   -0.13756E+03
   177    0.63794E+05    0.47410E+01   -0.13820E+03
   178    0.64557E+05    0.48452E+01   -0.13875E+03
   179    0.65323E+05    0.49520E+01   -0.13922E+03
   180    0.66094E+05    0.50618E+01   -0.13960E+03
   181    0.66870E+05    0.51745E+01   -0.13989E+03
   182    0.67649E+05    0.52904E+01   -0.14008E+03
   183    0.68433E+05    0.54097E+01   -0.14018E+03
   184    0.69220E+05    0.55324E+01   -0.14017E+03
   185    0.70012E+05    0.56589E+01   -0.14006E+03
   186    0.70807E+05    0.57891E+01   -0.13984E+03
   187    0.71606E+05    0.59234E+01   -0.13951E+03
   188    0.72409E+05    0.60617E+01   -0.13907E+03
   189    0.73216E+05    0.62045E+01   -0.13851E+03
   190    0.74026E+05    0.63516E+01   -0.13783E+03
   191    0.74840E+05    0.65035E+01   -0.13702E+03
   192    0.75658E+05    0.66601E+01   -0.13608E+03
   193    0.76479E+05    0.68216E+01   -0.13502E+03
   194    0.77304E+05    0.69883E+01   -0.13382E+03
   195    0.78132E+05    0.71603E+01   -0.13248E+03
   196    0.78963E+05    0.73378E+01   -0.13100E+03
   197    0.79797E+05    0.75208E+01   -0.12938E+03
   198    0.80635E+05    0.77096E+01   -0.12760E+03
   199    0.81476E+05    0.79044E+01   -0.12568E+03
   200    0.82320E+05    0.81053E+01   -0.12360E+03
   201    0.83167E+05    0.83124E+01   -0.12137E+03
   202    0.84018E+05    0.85264E+01   -0.11897E+03
   203    0.84870E+05    0.87475E+01   -0.11642E+03
   204    0.85726E+05    0.89765E+01   -0.11371E+03
   205    0.86584E+05    0.92137E+01   -0.11084E+03
   206    0.87445E+05    0.94596E+01   -0.10781E+03
   207    0.88309E+05    0.97147E+01   -0.10461E+03
   208    0.89174E+05    0.99796E+01   -0.10126E+03
   209    0.90042E+05    0.10255E+02   -0.97751E+02
   210    0.90912E+05    0.10541E+02   -0.94077E+02
   211    0.91784E+05    0.10838E+02   -0.90242E+02
   212    0.92658E+05    0.11147E+02   -0.86244E+02
   213    0.93534E+05    0.11468E+02   -0.82084E+02
   214    0.94411E+05    0.11801E+02   -0.77761E+02
   215    0.95290E+05    0.12148E+02   -0.73275E+02
   216    0.96171E+05    0.12509E+02   -0.68625E+02
   217    0.97053E+05    0.12884E+02   -0.63812E+02
   218    0.97936E+05    0.13273E+02   -0.58833E+02
   219    0.98821E+05    0.13678E+02   -0.53691E+02
   220    0.99707E+05    0.14099E+02   -0.48383E+02
   221    0.10059E+06    0.14535E+02   -0.42909E+02
   222    0.10148E+06    0.14989E+02   -0.37270E+02
   223    0.10237E+06    0.15459E+02   -0.31465E+02
   224    0.10326E+06    0.15947E+02   -0.25492E+02
   225    0.10415E+06    0.16454E+02   -0.19353E+02
   226    0.10504E+06    0.16979E+02   -0.13047E+02
   227    0.10593E+06    0.17523E+02   -0.65724E+01
   228    0.10682E+06    0.18087E+02    0.70089E-01
   229    0.10771E+06    0.18671E+02    0.68811E+01
   230    0.10860E+06    0.19276E+02    0.13861E+02
   231    0.10949E+06    0.19902E+02    0.21010E+02
   232    0.11038E+06    0.20549E+02    0.28329E+02
   233    0.11127E+06    0.21219E+02    0.35818E+02
   234    0.11216E+06    0.21912E+02    0.43477E+02
   235    0.11305E+06    0.22627E+02    0.51308E+02
   236    0.11394E+06    0.23366E+02    0.59309E+02
   237    0.11483E+06    0.24130E+02    0.67482E+02
   238    0.11572E+06    0.24918E+02    0.75827E+02
   239    0.11661E+06    0.25731E+02    0.84344E+02
   240    0.11749E+06    0.26569E+02    0.93034E+02
   241    0.11838E+06    0.27434E+02    0.10190E+03
   242    0.11926E+06    0.28326E+02    0.11093E+03
   243    0.12014E+06    0.29244E+02    0.12014E+03
   244    0.12103E+06    0.30191E+02    0.12952E+03
   245    0.12191E+06    0.31165E+02    0.13905E+03
   246    0.12278E+06    0.32169E+02    0.14874E+03
   247    0.12366E+06    0.33203E+02    0.15857E+03
   248    0.12454E+06    0.34267E+02    0.16854E+03
   249    0.12541E+06    0.35363E+02    0.17863E+03
   250    0.12628E+06    0.36490E+02    0.18885E+03
   251    0.12715E+06    0.37650E+02    0.19919E+03
   252    0.12802E+06    0.38842E+02    0.20963E+03
   253    0.12889E+06    0.40069E+02    0.22017E+03
   254    0.12975E+06    0.41330E+02    0.23081E+03
   255    0.13061E+06    0.42626E+02    0.24153E+03
   256    0.13147E+06    0.43958E+02    0.25233E+03
   257    0.13233E+06    0.45327E+02    0.26320E+03
   258    0.13319E+06    0.46732E+02    0.27413E+03
   259    0.13404E+06    0.48176E+02    0.28512E+03
   260    0.13489E+06    0.49658E+02    0.29616E+03
   261    0.13574E+06    0.51179E+02    0.30724E+03
   262    0.13659E+06    0.52740E+02    0.31836E+03
   263    0.13743E+06    0.54341E+02    0.32950E+03
   264    0.13827E+06    0.55984E+02    0.34066E+03
   265    0.13911E+06    0.57668E+02    0.35183E+03
   266    0.13994E+06    0.59395E+02    0.36300E+03
   267    0.14077E+06    0.61165E+02    0.37418E+03
   268    0.14160E+06    0.62979E+02    0.38534E+03
