#    L    TT             EE             TE          
     2    0.43171E+01    0.18012E-03    0.10825E-01
     3    0.42710E+01    0.31601E-03    0.14631E-01
     4    0.41893E+01    0.37224E-03    0.15901E-01
     5    0.41356E+01    0.34078E-03    0.15403E-01
     6    0.41183E+01    0.25686E-03    0.13908E-01
     7    0.41350E+01    0.16535E-03    0.11982E-01
     8    0.41785E+01    0.96581E-04    0.10016E-01
     9    0.42440E+01    0.58942E-04    0.82428E-02
    10    0.43274E+01    0.44953E-04    0.68176E-02
    11    0.44230E+01    0.41919E-04    0.58301E-02
    12    0.45325E+01    0.39903E-04    0.53183E-02
    13    0.46506E+01    0.36665E-04    0.51892E-02
    14    0.47714E+01    0.32296E-04    0.53265E-02
    15    0.48971E+01    0.28926E-04    0.56505E-02
    16    0.50309E+01    0.28507E-04    0.60905E-02
    17    0.51720E+01    0.30230E-04    0.65767E-02
    18    0.53184E+01    0.32733E-04    0.70453E-02
    19    0.54677E+01    0.35177E-04    0.74565E-02
    20    0.56180E+01    0.37161E-04    0.77891E-02
    21    0.57695E+01    0.39507E-04    0.80734E-02
    22    0.59231E+01    0.43186E-04    0.83464E-02
    23    0.60788E+01    0.48567E-04    0.86194E-02
    24    0.62364E+01    0.55785E-04    0.88995E-02
    25    0.63954E+01    0.64667E-04    0.92039E-02
    26    0.65554E+01    0.74978E-04    0.95457E-02
    27    0.67168E+01    0.86545E-04    0.99118E-02
    28    0.68800E+01    0.99274E-04    0.10283E-01
    29    0.70445E+01    0.11333E-03    0.10641E-01
    30    0.72100E+01    0.12886E-03    0.10969E-01
    31    0.73768E+01    0.14561E-03    0.11247E-01
    32    0.75455E+01    0.16335E-03    0.11455E-01
    33    0.77159E+01    0.18217E-03    0.11575E-01
    34    0.78875E+01    0.20230E-03    0.11597E-01
    35    0.80597E+01    0.22403E-03    0.11549E-01
    36    0.82320E+01    0.24761E-03    0.11456E-01
    37    0.84055E+01    0.27300E-03    0.11299E-01
    38    0.85815E+01    0.30014E-03    0.11055E-01
    39    0.87594E+01    0.32916E-03    0.10737E-01
    40    0.89384E+01    0.36028E-03    0.10372E-01
    41    0.91180E+01    0.39362E-03    0.99759E-02
    42    0.92982E+01    0.42914E-03    0.95354E-02
    43    0.94791E+01    0.46673E-03    0.90298E-02
    44    0.96611E+01    0.50629E-03    0.84381E-02
    45    0.98444E+01    0.54772E-03    0.77394E-02
    46    0.10029E+02    0.59095E-03    0.69182E-02
    47    0.10215E+02    0.63613E-03    0.59806E-02
    48    0.10403E+02    0.68343E-03    0.49383E-02
    49    0.10592E+02    0.73304E-03    0.38027E-02
    50    0.10783E+02    0.78515E-03    0.25856E-02
    51    0.10975E+02    0.83987E-03    0.12951E-02
    52    0.11168E+02    0.89717E-03   -0.73239E-04
    53    0.11363E+02    0.95692E-03   -0.15272E-02
    54    0.11559E+02    0.10190E-02   -0.30747E-02
    55    0.11756E+02    0.10833E-02   -0.47233E-02
    56    0.11956E+02    0.11498E-02   -0.64798E-02
    57    0.12157E+02    0.12186E-02   -0.83457E-02
    58    0.12359E+02    0.12896E-02   -0.10321E-01
    59    0.12563E+02    0.13630E-02   -0.12407E-01
    60    0.12769E+02    0.14389E-02   -0.14604E-01
    61    0.12976E+02    0.15174E-02   -0.16911E-01
    62    0.13184E+02    0.15983E-02   -0.19330E-01
    63    0.13395E+02    0.16818E-02   -0.21861E-01
    64    0.13607E+02    0.17676E-02   -0.24505E-01
    65    0.13821E+02    0.18557E-02   -0.27263E-01
    66    0.14038E+02    0.19460E-02   -0.30133E-01
    67    0.14256E+02    0.20386E-02   -0.33112E-01
    68    0.14477E+02    0.21334E-02   -0.36193E-01
    69    0.14699E+02    0.22304E-02   -0.39370E-01
    70    0.14923E+02    0.23294E-02   -0.42638E-01
    71    0.15149E+02    0.24306E-02   -0.45993E-01
    72    0.15376E+02    0.25338E-02   -0.49438E-01
    73    0.15606E+02    0.26390E-02   -0.52979E-01
    74    0.15838E+02    0.27461E-02   -0.56621E-01
    75    0.16072E+02    0.28550E-02   -0.60369E-01
    76    0.16309E+02    0.29658E-02   -0.64228E-01
    77    0.16548E+02    0.30783E-02   -0.68195E-01
    78    0.16790E+02    0.31925E-02   -0.72266E-01
    79    0.17035E+02    0.33082E-02   -0.76437E-01
    80    0.17281E+02    0.34255E-02   -0.80704E-01
    81    0.17529E+02    0.35442E-02   -0.85062E-01
    82    0.17780E+02    0.36642E-02   -0.89506E-01
